GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,PLAYER_ID,FULL_NAME
Shot Area,Restricted Area,213,313,0.681,0,0,0.0,0.681,26,0.615,0.385,0.0,0.0,0.615,0.385,2,2,2,3,4,3,2,7,2,2,3,1,2,2,1628389,Bam Adebayo
Shot Area,In The Paint (Non-RA),237,473,0.501,0,0,0.0,0.501,19,0.536,0.464,0.0,0.0,0.536,0.464,1,1,1,3,4,3,1,6,1,1,3,1,1,1,1628389,Bam Adebayo
Shot Area,Mid-Range,65,189,0.344,0,0,0.0,0.344,1,0.569,0.431,0.0,0.0,0.569,0.431,3,3,3,3,4,3,3,5,3,3,3,1,3,3,1628389,Bam Adebayo
Shot Area,Left Corner 3,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6,3,3,3,6,1,4,4,3,1,6,4,1628389,Bam Adebayo
Shot Area,Right Corner 3,3,6,0.5,3,6,0.5,0.75,0,0.0,0.0,1.0,0.0,1.0,0.0,5,5,5,2,2,2,5,1,4,4,2,1,5,4,1628389,Bam Adebayo
Shot Area,Above the Break 3,12,35,0.343,12,35,0.343,0.514,0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,4,1,1,1,4,1,4,4,1,1,4,4,1628389,Bam Adebayo
Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,6,3,4,3,6,1,4,4,3,1,6,4,1628389,Bam Adebayo
Shot Area,Restricted Area,179,271,0.661,0,0,0.0,0.661,26,0.559,0.441,0.0,0.0,0.559,0.441,1,1,1,4,4,4,1,7,1,1,4,2,1,1,1630173,Precious Achiuwa
Shot Area,In The Paint (Non-RA),27,84,0.321,0,0,0.0,0.321,13,0.778,0.222,0.0,0.0,0.778,0.222,2,2,2,4,4,4,2,6,2,2,4,2,2,2,1630173,Precious Achiuwa
Shot Area,Mid-Range,3,17,0.176,0,0,0.0,0.176,0,1.0,0.0,0.0,0.0,1.0,0.0,6,5,6,4,4,4,6,1,3,3,4,2,6,4,1630173,Precious Achiuwa
Shot Area,Left Corner 3,7,30,0.233,7,30,0.233,0.35,0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,5,2,2,3,5,1,4,3,2,2,4,4,1630173,Precious Achiuwa
Shot Area,Right Corner 3,7,16,0.438,7,16,0.438,0.656,0,0.0,0.0,1.0,0.0,1.0,0.0,4,6,4,2,3,2,4,1,4,3,2,2,4,4,1630173,Precious Achiuwa
Shot Area,Above the Break 3,12,51,0.235,12,51,0.235,0.353,0,0.0,0.0,0.917,0.083,0.917,0.083,3,3,3,1,1,1,3,1,4,3,1,1,3,3,1630173,Precious Achiuwa
Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,3,4,2,7,4,1630173,Precious Achiuwa
Shot Area,Restricted Area,100,153,0.654,0,0,0.0,0.654,13,0.74,0.26,0.0,0.0,0.74,0.26,1,1,1,4,5,4,1,6,1,1,4,2,1,1,1630534,Ochai Agbaji
