GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,PLAYER_ID,FULL_NAME
Shot Area,Restricted Area,43,77,0.558,0,0,0.0,0.558,9,0.674,0.326,0.0,0.0,0.674,0.326,1,1,1,3,4,3,1,7,1,1,3,1,1,1,1630173,Precious Achiuwa
Shot Area,In The Paint (Non-RA),18,50,0.36,0,0,0.0,0.36,2,0.722,0.278,0.0,0.0,0.722,0.278,2,2,2,3,4,3,2,6,2,2,3,1,2,2,1630173,Precious Achiuwa
Shot Area,Mid-Range,2,8,0.25,0,0,0.0,0.25,0,0.5,0.5,0.0,0.0,0.5,0.5,3,3,3,3,4,3,3,1,3,3,3,1,3,3,1630173,Precious Achiuwa
Shot Area,Left Corner 3,1,6,0.167,1,6,0.167,0.25,0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,4,1,1,1,4,1,4,4,1,1,3,4,1630173,Precious Achiuwa
Shot Area,Right Corner 3,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6,3,3,3,6,1,4,4,3,1,6,4,1630173,Precious Achiuwa
Shot Area,Above the Break 3,1,5,0.2,1,5,0.2,0.3,0,0.0,0.0,1.0,0.0,1.0,0.0,4,5,4,1,2,1,4,1,4,4,1,1,3,4,1630173,Precious Achiuwa
Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,6,3,4,3,6,1,4,4,3,1,6,4,1630173,Precious Achiuwa
Shot Area,Restricted Area,68,95,0.716,0,0,0.0,0.716,4,0.632,0.368,0.0,0.0,0.632,0.368,2,2,2,4,4,4,2,6,1,2,4,2,1,2,1628389,Bam Adebayo
Shot Area,In The Paint (Non-RA),70,158,0.443,0,0,0.0,0.443,8,0.586,0.414,0.0,0.0,0.586,0.414,1,1,1,4,4,4,1,7,2,1,4,2,2,1,1628389,Bam Adebayo
Shot Area,Mid-Range,33,73,0.452,0,0,0.0,0.452,1,0.545,0.455,0.0,0.0,0.545,0.455,3,3,3,4,4,4,3,4,3,3,4,2,4,3,1628389,Bam Adebayo
Shot Area,Left Corner 3,9,19,0.474,9,19,0.474,0.711,1,0.0,0.0,1.0,0.0,1.0,0.0,5,5,5,2,2,2,5,4,4,4,2,2,5,5,1628389,Bam Adebayo
Shot Area,Right Corner 3,8,12,0.667,8,12,0.667,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,6,6,6,3,3,3,6,1,4,4,3,2,6,5,1628389,Bam Adebayo
Shot Area,Above the Break 3,22,56,0.393,22,56,0.393,0.589,0,0.0,0.0,0.909,0.091,0.909,0.091,4,4,4,1,1,1,3,1,4,4,1,1,3,4,1628389,Bam Adebayo
Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,2,7,5,1628389,Bam Adebayo
Shot Area,Restricted Area,31,43,0.721,0,0,0.0,0.721,1,0.355,0.645,0.0,0.0,0.355,0.645,1,1,1,1,2,1,1,6,1,1,1,1,1,1,203500,Steven Adams
Shot Area,In The Paint (Non-RA),5,18,0.278,0,0,0.0,0.278,1,0.2,0.8,0.0,0.0,0.2,0.8,2,2,2,1,2,1,2,6,2,2,1,1,2,2,203500,Steven Adams
Shot Area,Mid-Range,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,1,2,1,3,1,3,3,1,1,3,3,203500,Steven Adams
Shot Area,Left Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,1,2,1,3,1,3,3,1,1,3,3,203500,Steven Adams
Shot Area,Right Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,1,2,1,3,1,3,3,1,1,3,3,203500,Steven Adams
Shot Area,Above the Break 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,1,2,1,3,1,3,3,1,1,3,3,203500,Steven Adams
Shot Area,Backcourt,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,1,1,1,3,1,3,3,1,1,3,3,203500,Steven Adams
Shot Area,Restricted Area,31,51,0.608,0,0,0.0,0.608,5,0.774,0.226,0.0,0.0,0.774,0.226,1,1,1,4,4,4,1,7,1,1,4,2,1,1,1630534,Ochai Agbaji
Shot Area,In The Paint (Non-RA),4,13,0.308,0,0,0.0,0.308,4,0.75,0.25,0.0,0.0,0.75,0.25,4,4,4,4,4,4,4,6,2,2,4,2,4,3,1630534,Ochai Agbaji
Shot Area,Mid-Range,1,7,0.143,0,0,0.0,0.143,1,1.0,0.0,0.0,0.0,1.0,0.0,6,6,6,4,4,4,6,5,3,3,4,2,6,4,1630534,Ochai Agbaji
