PLAYER_NAME,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,PACE,E_PACE,PIE
A.J. Lawson,0.508,0.542,0.189,0.193,103.71,103.3,0.082
AJ Green,0.612,0.621,0.123,0.127,100.84,101.39,0.058
AJ Johnson,0.441,0.48,0.173,0.178,100.83,101.46,0.053
Aaron Gordon,0.607,0.65,0.186,0.189,101.64,102.24,0.104
Aaron Holiday,0.571,0.594,0.162,0.168,103.09,102.69,0.082
Aaron Nesmith,0.617,0.653,0.171,0.176,101.64,102.15,0.087
Aaron Wiggins,0.577,0.596,0.2,0.204,101.91,102.3,0.105
Adam Flagler,0.333,0.335,0.207,0.218,100.16,98.22,0.025
Adama Sanogo,0.571,0.571,0.145,0.158,103.82,99.4,0.078
Adem Bona,0.703,0.714,0.135,0.14,100.51,100.51,0.093
Ajay Mitchell,0.557,0.587,0.159,0.165,100.63,100.96,0.082
Al Horford,0.547,0.563,0.136,0.139,97.75,98.66,0.091
Alec Burks,0.587,0.608,0.16,0.165,98.03,98.61,0.088
Alex Caruso,0.541,0.568,0.147,0.152,102.7,103.01,0.101
Alex Ducas,0.567,0.583,0.115,0.12,102.63,101.97,0.065
Alex Len,0.524,0.525,0.101,0.106,101.55,99.68,0.057
Alex Reese,0.62,0.641,0.123,0.128,104.64,104.77,0.079
Alex Sarr,0.457,0.482,0.23,0.234,104.3,104.83,0.084
Alondes Williams,1.25,1.25,0.286,0.286,90.4,89.63,0.4
Alperen Sengun,0.505,0.545,0.259,0.264,99.47,100.76,0.153
Amen Thompson,0.575,0.602,0.172,0.176,100.0,101.1,0.129
Amir Coffey,0.57,0.614,0.15,0.153,99.23,99.59,0.072
Andre Drummond,0.506,0.535,0.183,0.188,98.83,99.28,0.109
Andre Jackson Jr.,0.553,0.554,0.115,0.118,101.48,101.45,0.051
Andrew Nembhard,0.506,0.545,0.163,0.165,101.31,101.86,0.081
Andrew Wiggins,0.526,0.566,0.238,0.243,99.96,100.8,0.105
Anfernee Simons,0.521,0.557,0.241,0.249,99.72,100.71,0.106
Anthony Black,0.473,0.521,0.19,0.196,97.83,98.98,0.084
Anthony Davis,0.536,0.588,0.301,0.308,98.83,99.84,0.179
Anthony Edwards,0.547,0.595,0.307,0.314,98.27,99.61,0.14
Anthony Gill,0.545,0.586,0.124,0.13,101.23,100.51,0.071
Anton Watson,0.444,0.444,0.193,0.206,111.52,103.94,0.033
Antonio Reeves,0.558,0.579,0.183,0.188,101.12,101.39,0.072
Ariel Hukporti,0.677,0.654,0.113,0.117,102.57,101.64,0.048
Armel Traoré,0.316,0.317,0.153,0.165,102.24,98.22,0.027
Ausar Thompson,0.547,0.568,0.185,0.189,102.76,103.65,0.104
Austin Reaves,0.556,0.616,0.23,0.237,99.86,100.87,0.118
Ayo Dosunmu,0.561,0.585,0.163,0.167,104.63,104.93,0.084
Bam Adebayo,0.521,0.561,0.232,0.237,97.02,97.42,0.137
Baylor Scheierman,0.473,0.49,0.143,0.148,95.28,94.42,0.074
Ben Sheppard,0.537,0.555,0.108,0.112,102.92,102.45,0.055
Ben Simmons,0.52,0.539,0.133,0.136,98.17,98.61,0.103
Bennedict Mathurin,0.516,0.579,0.222,0.228,101.52,101.93,0.092
Bilal Coulibaly,0.472,0.515,0.175,0.179,103.22,104.48,0.07
Bismack Biyombo,0.588,0.576,0.124,0.127,100.23,100.35,0.08
Blake Wesley,0.481,0.51,0.165,0.168,101.92,100.91,0.066
Bobby Portis,0.52,0.542,0.234,0.239,101.2,101.89,0.131
Bobi Klintman,0.7,0.689,0.121,0.123,96.83,95.34,0.095
Bogdan Bogdanović,0.534,0.559,0.183,0.188,101.35,101.59,0.074
Bol Bol,0.612,0.627,0.204,0.209,102.75,101.49,0.114
Bones Hyland,0.534,0.576,0.274,0.281,98.61,99.58,0.108
Bradley Beal,0.571,0.598,0.219,0.224,100.02,99.68,0.093
Branden Carlson,0.557,0.581,0.185,0.192,103.83,102.66,0.101
Brandin Podziemski,0.537,0.557,0.177,0.184,100.36,100.64,0.114
Brandon Boston,0.5,0.535,0.199,0.202,99.87,100.85,0.085
Brandon Clarke,0.622,0.638,0.15,0.155,105.54,106.63,0.108
Brandon Ingram,0.53,0.56,0.305,0.31,97.49,98.88,0.122
Brandon Miller,0.509,0.54,0.27,0.275,98.77,100.5,0.1
Brandon Williams,0.585,0.634,0.218,0.224,104.74,104.36,0.119
